flasher_modes,flasher_cmds,move_modes,pos_cmd_0s,pos_cmd_1s
notimplemented,notimplemented,move,0.09549706894556671,0.053348250726345144
notimplemented,notimplemented,move,0.09489654907575504,0.0526157785706637
notimplemented,notimplemented,move,0.09427320542787848,0.051902629028464334
notimplemented,notimplemented,move,0.09362765936444148,0.05120951298272004
notimplemented,notimplemented,move,0.09296055437979919,0.05053712134657886
notimplemented,notimplemented,move,0.09227255545870826,0.04988612437464663
notimplemented,notimplemented,move,0.09156434841345559,0.04925717099486264
notimplemented,notimplemented,move,0.09083663920022575,0.0486508881616341
notimplemented,notimplemented,move,0.09009015321538844,0.04806788023087442
notimplemented,notimplemented,move,0.08932563457240765,0.047508728357568024
notimplemented,notimplemented,move,0.08854384536009322,0.04697398991646247
notimplemented,notimplemented,move,0.08774556488293404,0.046464197946465155
notimplemented,notimplemented,move,0.08693158888427048,0.045979860619298554
notimplemented,notimplemented,move,0.08610272875308009,0.04552146073294359
notimplemented,notimplemented,move,0.08525981071516736,0.045089455230376094
notimplemented,notimplemented,move,0.08440367500956401,0.04468427474407613
notimplemented,notimplemented,move,0.08353517505096032,0.04430632316676418
notimplemented,notimplemented,move,0.08265517657900286,0.04395597724879205
notimplemented,notimplemented,move,0.08176455679530634,0.04363358622258998
notimplemented,notimplemented,move,0.0808642034890401,0.04333947145454416
notimplemented,notimplemented,move,0.07995501415196035,0.04307392612465165
notimplemented,notimplemented,move,0.07903789508377106,0.04283721493427228
notimplemented,notimplemented,move,0.07811376048870457,0.042629573842268564
notimplemented,notimplemented,move,0.07718353156422297,0.04245120982979668
notimplemented,notimplemented,move,0.07624813558274854,0.04230230069398328
notimplemented,notimplemented,move,0.07530850496733825,0.042182994870693366
notimplemented,notimplemented,move,0.0743655763622243,0.0420934112865662
notimplemented,notimplemented,move,0.07342028969914674,0.042033639240466686
notimplemented,notimplemented,move,0.0724735872604091,0.042003738314470275
notimplemented,notimplemented,move,0.07152641273959089,0.042003738314470275
notimplemented,notimplemented,move,0.07057971030085325,0.042033639240466686
notimplemented,notimplemented,move,0.06963442363777571,0.0420934112865662
notimplemented,notimplemented,move,0.06869149503266175,0.04218299487069336
notimplemented,notimplemented,move,0.06775186441725144,0.04230230069398328
notimplemented,notimplemented,move,0.066816468435777,0.04245120982979668
notimplemented,notimplemented,move,0.06588623951129544,0.042629573842268564
notimplemented,notimplemented,move,0.06496210491622893,0.04283721493427228
notimplemented,notimplemented,move,0.06404498584803964,0.04307392612465164
notimplemented,notimplemented,move,0.06313579651095991,0.04333947145454415
notimplemented,notimplemented,move,0.06223544320469364,0.04363358622258998
notimplemented,notimplemented,move,0.06134482342099715,0.04395597724879205
notimplemented,notimplemented,move,0.060464824949039674,0.044306323166764174
notimplemented,notimplemented,move,0.059596324990435975,0.04468427474407613
notimplemented,notimplemented,move,0.05874018928483263,0.04508945523037609
notimplemented,notimplemented,move,0.0578972712469199,0.045521460732943594
